Clean_address,latitude,longitude
"18001 N 79TH AVE STE B48, GLENDALE, AZ 853088393, US",33.64699,-112.22915
"134 MARION AVE, MCCOMB, MS 396483620, US",31.24829,-90.47397
"1242 S BONNIE BEACH PL, LOS ANGELES, CA 900233302, US",34.01785,-118.18125
"170 HILLSIDE AVE, STATEN ISLAND, NY 103041718, US",40.61617,-74.08869
"220 LOOKOUT PL, MAITLAND, FL 327518440, US",28.63811,-81.36227
"360 S GARDEN WAY STE 230, EUGENE, OR 974018187, US",44.05611,-123.05495
"12360 LAKE CITY WAY NE STE 420, SEATTLE, WA 981255452, US",47.71888,-122.29452
"7477 SE 52ND AVE, PORTLAND, OR 972068206, US",45.46879,-122.61026
"2840 CLARK AVE, SAINT LOUIS, MO 631032506, US",38.62947,-90.22163
"2900 BRISTOL ST STE B205, COSTA MESA, CA 926265948, US",33.67531,-117.88574
"505 PARNASSUS AVE, SAN FRANCISCO, CA 941432204, US",37.76312,-122.45782
"1600 23RD AVE, GREELEY, CO 806346070, US",40.41326,-104.71532
"435 LEWIS AVE, MERIDEN, CT 64512101, US",41.54915,-72.80074
"18 N FORGE ST, AKRON, OH 443041317, US",41.08144,-81.50548
"6424 E GREENWAY PKWY STE 100-453, SCOTTSDALE, AZ 852542045, US",33.62632,-111.94227
"316 PASEO REYES DR, ST AUGUSTINE, FL 320958464, US",30.01566,-81.39204
"555 E HARDY ST, INGLEWOOD, CA 903014011, US",33.9504,-118.34829
"27525 LOYOLA AVE, HAYWARD, CA 945454222, US",37.62874,-122.09504
"6740 VESPER AVE STE 102, VAN NUYS, CA 914054612, US",34.19338,-118.45051
"9070 KIMBERLY BLVD # 23-24, BOCA RATON, FL 334342855, US",26.38263,-80.18788
"1425 S MAIN ST, WALNUT CREEK, CA 945965318, US",37.89137,-122.05868
"AVIANO HEALTH AND WELLNESS CENTER, AVIANO, PORDENONE 33081, IT",46.07046,12.58675
"78 E CHANNEL ST, NEWARK, OH 430556037, US",40.07752,-82.40898
"93 N KAINALU DR, KAILUA, HI 967342331, US",21.39905,-157.74107
"2121 W TEMPLE ST, LOS ANGELES, CA 900264915, US",34.07058,-118.26885
